word,type,english
al,c4,sky
ceos,c4,east
cin,v,sleep
edu,c4,beginning; comes from eth $\rightarrow$ ethdu $\rightarrow$ edu
eth,c4,red
ethal,c4,sunrise
faes,c3,cat
fapen,c1,man
feor,c4,house
fist,v,trade
fistjaefti,c4,cart; lit ``trade cart''
flin,v,bloom
folaan,c4,water
folaanten,c4,sea; ocean
fruu,v,write
fruuta,v,print; write in a manuscript
fruutasi,c4,book
fur,c4,{wood (as in the material, not as in forest)}
furpiung,c4,bow
jaefti,c4,wagon
jhaean,v,see
kam,c4,city
kax,c4,settlement; small village; more common in rural dialects
kaea,adj,great; august; mighty
ken,c4,stone
kyy,v,love
loostiun,v,{rest; more like ``repose'', ``relax'', leisurely}
maal,v,give
metel,c2,horse
ner,c3,wolf
pen,c1,person; human
pensul,v,communicate
pensuli,c4,language
piung,c4,spring (as in something which is springy)
pirin,c4,gold
pofoof,c4,flower
pomin,c4,ball; bubble
sapen,c1,woman
silethal,c4,name of a continent
sis,c2,bird
sissoo,c4,arrow
soo,c4,sword; weapon
sriin,v,ride
sten,c4,number
stol,c1,friend
tefol,c3,bear
then,v,guard
thlodu,c4,end; comes from thlos $\rightarrow$ thlosdu $\rightarrow$ thlodu
thlos,c4,purple
thlosal,c4,sunset
thluun,c4,sword
wael,c4,jewel
xaefer,c4,forest
xiln,c3,dog
xros,c1,orc
xrosi,c4,orcish
xwaef,c2,cow
xwaefxwaeaef,c2,calf
